Test Case Number, Command Message, Command Response
0, eeffeeff000000000000000000000000, eeffeeff000000000000000000000002
1, eeffeeff010000000000000000000000, eeffeeff0100000002000000000000000200
2, eeffeeff020000000000000000000000, eeffeeff0200000002000000000000000100
3, eeffeeff030000000000000000000000, eeffeeff030000000000000000000001
4, eeffeeff040000000000000000000000, eeffeeff0400000035010000000000005950430000000000000000000000000000000000000000000000000000000000004a4c2d576946692d43616d65726100000000000000000000000000000000000000342e3030302e30303200000000000000000000000000000000000000000000000048572d4a4c2d574946492d56312e30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5, eeffeeff050000000000000000000000, eeffeeff05000000430000000000000054696d657369736f2d68323031350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006
6, eeffeeff060000000000000000000000, eeffeeff060000000000000000000001
7, eeffeeff070000000000000000000000, eeffeeff070000000500000000000000018002e001
8, eeffeeff080000000000000000000000, eeffeeff080000000000000000000001
9, eeffeeff090000000000000000000000, eeffeeff090000000000000000000002
10, eeffeeff0a0000000000000000000000, eeffeeff0a0000000890020000000000018002e00100000000000000f88f0200
11, eeffeeff0b0000000000000000000000, eeffeeff0b0000000500000000000000010005d002
12, eeffeeff0c0000000000000000000000, eeffeeff0c0000000000000000000001
13, eeffeeff0d0000000000000000000000, eeffeeff0d0000000000000000000002
14, eeffeeff0e0000000000000000000000, eeffeeff0e0000000000000000000002
15, eeffeeff0f0000000000000000000000, eeffeeff0f0000000000000000000002
16, eeffeeff100000000000000000000000, eeffeeff100000000000000000000002
17, eeffeeff110000000000000000000000, eeffeeff110000000000000000000002
18, eeffeeff120000000000000000000000, eeffeeff120000000000000000000002
19, eeffeeff130000000000000000000000, eeffeeff130000000000000000000002
20, eeffeeff140000000000000000000000, eeffeeff140000000000000000000002
21, eeffeeff150000000000000000000000, eeffeeff150000000000000000000002
22, eeffeeff160000000000000000000000, eeffeeff160000000000000000000002
23, eeffeeff170000000000000000000000, eeffeeff170000000000000000000002
24, eeffeeff180000000000000000000000, eeffeeff180000000000000000000002
25, eeffeeff190000000000000000000000, eeffeeff190000000000000000000002
26, eeffeeff1a0000000000000000000000, eeffeeff1a0000000000000000000002
27, eeffeeff1b0000000000000000000000, eeffeeff1b0000000000000000000002
28, eeffeeff1c0000000000000000000000, eeffeeff1c0000000000000000000002
29, eeffeeff1d0000000000000000000000, eeffeeff1d0000000000000000000002
30, eeffeeff1e0000000000000000000000, eeffeeff1e0000000000000000000002
31, eeffeeff1f0000000000000000000000, eeffeeff1f0000000000000000000002
32, eeffeeff200000000000000000000000, eeffeeff200000000000000000000002
33, eeffeeff210000000000000000000000, eeffeeff210000000000000000000002
34, eeffeeff220000000000000000000000, eeffeeff220000000000000000000002
35, eeffeeff230000000000000000000000, eeffeeff230000000000000000000002
36, eeffeeff240000000000000000000000, eeffeeff240000000000000000000002
37, eeffeeff250000000000000000000000, eeffeeff250000000000000000000002
38, eeffeeff260000000000000000000000, eeffeeff260000000000000000000002
39, eeffeeff270000000000000000000000, eeffeeff270000000000000000000002
40, eeffeeff280000000000000000000000, eeffeeff280000000000000000000002
41, eeffeeff290000000000000000000000, eeffeeff290000000000000000000002
42, eeffeeff2a0000000000000000000000, eeffeeff2a0000000000000000000002
43, eeffeeff2b0000000000000000000000, eeffeeff2b0000000000000000000002
44, eeffeeff2c0000000000000000000000, eeffeeff2c0000000000000000000002
45, eeffeeff2d0000000000000000000000, eeffeeff2d0000000000000000000002
46, eeffeeff2e0000000000000000000000, eeffeeff2e0000000000000000000002
47, eeffeeff2f0000000000000000000000, eeffeeff2f0000000000000000000002
48, eeffeeff300000000000000000000000, eeffeeff300000000000000000000002
49, eeffeeff310000000000000000000000, eeffeeff310000000000000000000002
50, eeffeeff320000000000000000000000, eeffeeff320000000000000000000002
51, eeffeeff330000000000000000000000, eeffeeff330000000000000000000002
52, eeffeeff340000000000000000000000, eeffeeff340000000000000000000002
53, eeffeeff350000000000000000000000, eeffeeff350000000000000000000002
54, eeffeeff360000000000000000000000, eeffeeff360000000000000000000002
55, eeffeeff370000000000000000000000, eeffeeff370000000000000000000002
56, eeffeeff380000000000000000000000, eeffeeff380000000000000000000002
57, eeffeeff390000000000000000000000, eeffeeff390000000000000000000002
58, eeffeeff3a0000000000000000000000, eeffeeff3a0000000000000000000002
59, eeffeeff3b0000000000000000000000, eeffeeff3b0000000000000000000002
60, eeffeeff3c0000000000000000000000, eeffeeff3c0000000000000000000002
61, eeffeeff3d0000000000000000000000, eeffeeff3d0000000000000000000002
62, eeffeeff3e0000000000000000000000, eeffeeff3e0000000000000000000002
63, eeffeeff3f0000000000000000000000, eeffeeff3f0000000000000000000002
64, eeffeeff400000000000000000000000, eeffeeff400000000000000000000002
65, eeffeeff410000000000000000000000, eeffeeff410000000000000000000002
66, eeffeeff420000000000000000000000, eeffeeff420000000000000000000002
67, eeffeeff430000000000000000000000, eeffeeff430000000000000000000002
68, eeffeeff440000000000000000000000, eeffeeff440000000000000000000002
69, eeffeeff450000000000000000000000, eeffeeff450000000000000000000002
70, eeffeeff460000000000000000000000, eeffeeff460000000000000000000002
71, eeffeeff470000000000000000000000, eeffeeff470000000000000000000002
72, eeffeeff480000000000000000000000, eeffeeff480000000000000000000002
73, eeffeeff490000000000000000000000, eeffeeff490000000000000000000002
74, eeffeeff4a0000000000000000000000, eeffeeff4a0000000000000000000002
75, eeffeeff4b0000000000000000000000, eeffeeff4b0000000000000000000002
76, eeffeeff4c0000000000000000000000, eeffeeff4c0000000000000000000002
77, eeffeeff4d0000000000000000000000, eeffeeff4d0000000000000000000002
78, eeffeeff4e0000000000000000000000, eeffeeff4e0000000000000000000002
79, eeffeeff4f0000000000000000000000, eeffeeff4f0000000000000000000002
80, eeffeeff500000000000000000000000, eeffeeff500000000000000000000002
81, eeffeeff510000000000000000000000, eeffeeff510000000000000000000002
82, eeffeeff520000000000000000000000, eeffeeff520000000000000000000002
83, eeffeeff530000000000000000000000, eeffeeff530000000000000000000002
84, eeffeeff540000000000000000000000, eeffeeff540000000000000000000002
85, eeffeeff550000000000000000000000, eeffeeff550000000000000000000002
86, eeffeeff560000000000000000000000, eeffeeff560000000000000000000002
87, eeffeeff570000000000000000000000, eeffeeff570000000000000000000002
88, eeffeeff580000000000000000000000, eeffeeff580000000000000000000002
89, eeffeeff590000000000000000000000, eeffeeff590000000000000000000002
90, eeffeeff5a0000000000000000000000, eeffeeff5a0000000000000000000002
91, eeffeeff5b0000000000000000000000, eeffeeff5b0000000000000000000002
92, eeffeeff5c0000000000000000000000, eeffeeff5c0000000000000000000002
93, eeffeeff5d0000000000000000000000, eeffeeff5d0000000000000000000002
94, eeffeeff5e0000000000000000000000, eeffeeff5e0000000000000000000002
95, eeffeeff5f0000000000000000000000, eeffeeff5f0000000000000000000002
96, eeffeeff600000000000000000000000, eeffeeff600000000000000000000002
97, eeffeeff610000000000000000000000, eeffeeff610000000000000000000002
98, eeffeeff620000000000000000000000, eeffeeff620000000000000000000002
99, eeffeeff630000000000000000000000, eeffeeff630000000000000000000002
100, eeffeeff640000000000000000000000, eeffeeff640000000000000000000002
101, eeffeeff650000000000000000000000, eeffeeff650000000000000000000002
102, eeffeeff660000000000000000000000, eeffeeff660000000000000000000002
103, eeffeeff670000000000000000000000, eeffeeff670000000000000000000002
104, eeffeeff680000000000000000000000, eeffeeff680000000000000000000002
105, eeffeeff690000000000000000000000, eeffeeff690000000000000000000002
106, eeffeeff6a0000000000000000000000, eeffeeff6a0000000000000000000002
107, eeffeeff6b0000000000000000000000, eeffeeff6b0000000000000000000002
108, eeffeeff6c0000000000000000000000, eeffeeff6c0000000000000000000002
109, eeffeeff6d0000000000000000000000, eeffeeff6d0000000000000000000002
110, eeffeeff6e0000000000000000000000, eeffeeff6e0000000000000000000002
111, eeffeeff6f0000000000000000000000, eeffeeff6f0000000000000000000002
112, eeffeeff700000000000000000000000, eeffeeff700000000000000000000002
113, eeffeeff710000000000000000000000, eeffeeff710000000000000000000002
114, eeffeeff720000000000000000000000, eeffeeff720000000000000000000002
115, eeffeeff730000000000000000000000, eeffeeff730000000000000000000002
116, eeffeeff740000000000000000000000, eeffeeff740000000000000000000002
117, eeffeeff750000000000000000000000, eeffeeff750000000000000000000002
118, eeffeeff760000000000000000000000, eeffeeff760000000000000000000002
119, eeffeeff770000000000000000000000, eeffeeff770000000000000000000002
120, eeffeeff780000000000000000000000, eeffeeff780000000000000000000002
121, eeffeeff790000000000000000000000, eeffeeff790000000000000000000002
122, eeffeeff7a0000000000000000000000, eeffeeff7a0000000000000000000002
123, eeffeeff7b0000000000000000000000, eeffeeff7b0000000000000000000002
124, eeffeeff7c0000000000000000000000, eeffeeff7c0000000000000000000002
